Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
June Jones,SDG,10,3,7,0,10,3,7,0,58,22,36,0,0,0,0,0,0,0,1,0,1,,1998
Dennis Erickson,SEA,16,8,8,0,64,31,33,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,1998
Steve Mariucci,SFO,16,12,4,0,96,57,39,0,139,72,67,0,2,1,1,7,3,4,7,3,4,,1998
Dick Vermeil,STL,16,4,12,0,48,22,26,0,229,120,109,0,0,0,0,3,3,0,11,6,5,,1998
Tony Dungy,TAM,16,8,8,0,96,54,42,0,208,139,69,0,0,0,0,6,2,4,19,9,10,,1998
Jeff Fisher,TEN,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,1998
Norv Turner,WAS,16,6,10,0,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,,1998
Vince Tobin,ARI,16,4,12,0,71,28,43,0,71,28,43,0,0,0,0,2,1,1,2,1,1,,1997
Dan Reeves,ATL,16,7,9,0,109,49,59,1,357,190,165,2,0,0,0,5,3,2,20,11,9,,1997
Ted Marchibroda,BAL,16,6,9,1,48,16,31,1,186,87,98,1,0,0,0,0,0,0,6,2,4,,1997
Marv Levy,BUF,16,6,10,0,182,112,70,0,255,143,112,0,0,0,0,19,11,8,19,11,8,,1997
Dom Capers,CAR,16,7,9,0,64,30,34,0,128,48,80,0,0,0,0,2,1,1,2,1,1,,1997
Dave Wannstedt,CHI,16,4,12,0,96,40,56,0,169,82,87,0,0,0,0,2,1,1,5,2,3,,1997
Bruce Coslet,CIN,16,7,9,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,,1997
Barry Switzer,DAL,16,6,10,0,64,40,24,0,64,40,24,0,0,0,0,7,5,2,7,5,2,,1997
Mike Shanahan,DEN,16,12,4,0,224,138,86,0,308,170,138,0,4,4,0,13,8,5,14,8,6,Super Bowl Champions,1997
Bobby Ross,DET,16,9,7,0,57,27,30,0,137,74,63,0,1,0,1,2,0,2,8,3,5,,1997
Mike Holmgren,GNB,16,13,3,0,112,75,37,0,272,161,111,0,3,2,1,14,9,5,24,13,11,NFC Champions,1997
Lindy Infante,IND,16,3,13,0,32,12,20,0,96,36,60,0,0,0,0,1,0,1,1,0,1,,1997
Tom Coughlin,JAX,16,11,5,0,128,68,60,0,320,170,150,0,1,0,1,8,4,4,19,12,7,,1997
Marty Schottenheimer,KAN,16,13,3,0,160,101,58,1,327,200,126,1,1,0,1,10,3,7,18,5,13,,1997
Jimmy Johnson,MIA,16,9,7,0,64,36,28,0,144,80,64,0,1,0,1,5,2,3,13,9,4,,1997
Dennis Green,MIN,16,9,7,0,159,97,62,0,207,113,94,0,2,1,1,12,4,8,12,4,8,,1997
Mike Ditka,NOR,16,6,10,0,48,15,33,0,216,121,95,0,0,0,0,0,0,0,12,6,6,,1997
Pete Carroll,NWE,16,10,6,0,48,27,21,0,290,169,120,1,2,1,1,3,1,2,22,11,11,,1997
Jim Fassel,NYG,16,10,5,1,112,58,53,1,112,58,53,1,1,0,1,5,2,3,5,2,3,,1997
Bill Parcells,NYJ,16,9,7,0,48,29,19,0,303,172,130,1,0,0,0,2,1,1,19,11,8,,1997
